Year;Province;Pop;UnempRate;GDP;CPI;RailToBeijing;RailToTianjin;RailToHebei;RailToShanxi;RailToInnerMongolia;RailToLiaoning;RailToJilin;RailToHeilongjiang;RailToShanghai;RailToJiangsu;RailToZhejiang;RailToAnhui;RailToFujian;RailToJiangxi;RailToShandong;RailToHenan;RailToHubei;RailToHunan;RailToGuangdong;RailToGuangxi;RailToHainan;RailToChongqing;RailToSichuan;RailToGuizhou;RailToYunnan;RailToTibet;RailToShaanxi;RailToGansu;RailToQinghai;RailToNingxia;RailToXinjiang;Rail_Total
1994;Zhejiang;43.41;3.0;2689.3;124.8;22;17;35;15;12;46;18;36;370;48;782;29;51;120;55;22;19;71;46;22;0;0;39;10;19;0;16;12;3;3;17;1950.5
1994;Anhui;59.38;3.0;1320.5;126.9;24;15;32;25;13;40;23;29;319;912;322;2506;185;103;74;39;15;20;43;25;0;0;18;6;7;0;23;10;4;1;9;4835
1994;Fujian;31.83;2.3;1644.4;125.3;41;17;40;18;10;46;23;37;84;138;210;60;1181;111;55;33;31;82;9;11;0;0;27;10;20;0;18;13;4;3;12;2336.5
1994;Jiangxi;40.15;1.9;948.2;126.9;7;4;20;6;3;13;5;7;122;87;419;59;231;1294;37;19;32;90;131;64;0;0;29;14;13;0;9;5;1;1;3;2718.5
1994;Shandong;86.71;3.0;3844.5;123.4;309;138;402;260;88;163;132;207;276;727;415;352;91;154;4417;231;92;98;106;58;0;0;48;13;18;0;67;48;22;16;31;8971
1994;Henan;90.27;2.3;2216.8;125.2;127;98;131;119;47;143;58;56;124;863;170;260;53;219;254;2449;2464;508;458;292;0;0;175;24;35;0;126;57;19;11;28;9363.5
1994;Hubei;57.19;2.9;1700.9;125.3;36;31;147;109;17;55;21;49;23;72;52;46;72;80;122;400;1503;183;322;173;0;0;243;61;81;0;72;20;6;3;17;4011.5
1994;Hunan;63.03;3.6;1650.0;125.3;29;31;75;35;11;47;17;22;29;42;79;19;56;64;49;140;238;2071;1285;373;0;0;84;52;51;0;40;17;4;4;11;4967.5
1994;Guangdong;72.10;2.4;4619.0;121.7;126;59;148;51;29;166;59;98;78;110;123;26;15;41;131;159;222;473;1314;275;0;0;371;210;278;0;98;30;7;7;35;4733
1994;Guangxi;44.93;3.6;1198.3;126.0;25;23;73;30;12;45;15;25;49;59;78;38;18;41;45;89;68;152;437;977;0;0;152;60;41;0;16;7;2;2;7;2580.5
1994;Hainan;7.11;3.6;332.0;126.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;335;0;0;0;0;0;0;0;0;0;0;334.5
1994;Chongqing;29.86;;833.6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1994;Sichuan;80.99;3.7;2001.4;124.6;47;61;69;48;16;56;16;36;64;126;55;37;28;31;67;122;367;67;215;126;0;0;4585;175;228;0;154;79;21;20;41;6953
1994;Guizhou;34.58;5.5;524.5;122.8;3;26;38;17;2;20;2;2;15;46;29;10;18;25;21;19;67;112;337;310;0;0;317;1042;110;0;6;3;1;0;4;2594
1994;Yunnan;39.39;2.7;983.8;119.2;12;18;48;21;7;17;8;12;36;39;62;11;21;36;28;58;32;45;150;123;0;0;188;42;1274;0;51;25;5;3;9;2374
1994;Tibet;2.36;;46.0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1994;Shaanxi;34.81;3.5;839.0;126.7;13;27;26;55;9;17;4;8;53;583;51;44;14;39;24;88;242;38;75;25;0;0;176;9;19;0;1464;64;17;8;23;3208
1994;Gansu;23.87;5.2;453.6;123.7;15;60;32;20;54;34;8;13;27;77;36;14;23;7;30;79;34;27;67;10;0;0;191;10;25;0;144;1401;142;71;112;2755
1994;Qinghai;4.74;5.9;138.4;121.8;3;18;9;15;6;12;3;3;6;20;9;6;5;3;12;42;10;12;11;11;0;0;32;3;5;0;41;87;156;4;5;541.5
1994;Ningxia;5.04;5.2;136.3;123.1;29;98;24;6;64;100;7;7;3;11;6;3;4;1;8;7;10;4;12;2;0;0;17;2;3;0;74;461;33;497;5;1489.5
1994;Xinjiang;16.33;3.2;662.3;126.7;18;51;44;26;19;17;5;8;20;38;24;5;7;4;30;130;11;14;41;4;0;0;91;2;16;0;74;710;23;35;620;2078.5
1995;Beijing;12.51;0.4;1507.7;117.3;1000;385;489;88;26;96;29;40;50;108;41;17;23;12;106;88;51;45;108;19;0;0;55;8;15;0;34;14;5;7;15;2974
1995;Tianjin;8.95;1.0;932.0;115.3;203;341;370;137;62;78;50;69;38;70;31;12;32;9;39;62;35;23;84;17;0;0;34;7;10;0;38;27;9;7;49;1943
1995;Hebei;64.37;2.2;2849.5;115.2;1761;1433;4382;394;277;539;127;157;104;402;149;43;59;29;427;291;182;113;203;84;0;0;85;10;18;0;38;25;17;18;26;11393
1995;Shanxi;30.77;1.4;1076.0;116.9;1769;2751;8540;2447;245;1593;166;71;189;1726;325;427;132;152;2602;780;863;297;200;153;0;0;88;6;4;0;101;36;24;22;9;25718
1995;InnerMongolia;22.84;3.8;857.1;117.5;108;654;1181;165;3008;746;479;1054;26;100;40;21;18;12;195;93;39;29;42;21;0;0;30;3;5;0;31;49;32;91;7;8279
1995;Liaoning;40.34;2.7;2793.4;116.1;198;357;434;152;359;8531;888;814;61;153;73;40;35;28;199;179;81;75;95;40;0;0;131;17;14;0;34;35;21;15;16;13075
1995;Jilin;25.51;2.0;1137.2;115.2;129;136;231;51;117;1120;2770;524;57;97;50;30;33;28;190;97;46;63;108;59;0;0;133;4;13;0;15;12;3;3;5;6124
1995;Heilongjiang;37.01;2.9;1991.4;116.1;230;208;485;149;205;2699;1979;6473;53;161;48;30;29;24;346;112;44;55;91;33;0;0;60;7;15;0;22;17;3;16;8;13602
1995;Shanghai;13.01;2.6;2499.4;118.7;48;28;40;20;10;49;38;43;117;58;172;56;75;99;73;67;40;39;64;30;0;0;73;16;31;0;40;18;9;5;18;1376
